album,file,key,chord,deg,color,p1,p1c,p2,p2c,prev3,prev3_color
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E:7/3,i,7,i,maj,v,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A,iv,maj,i,7,i,maj,v,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A:min/b3,iv,min,iv,maj,i,7,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,iv,min,iv,maj,i,7
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,B,v,maj,i,maj,iv,min,iv,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,v,maj,i,maj,iv,min
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,B,v,maj,i,maj,v,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,v,maj,i,maj,v,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,B,v,maj,i,maj,v,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A,iv,maj,v,maj,i,maj,v,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,iv,maj,v,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E:9,i,maj,i,maj,iv,maj,v,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,F,iv,maj,,,,,,
01_-_Please_Please_Me,02_-_Misery.lab,C,G,v,maj,iv,maj,,,,
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,v,maj,iv,maj,,
01_-_Please_Please_Me,02_-_Misery.lab,C,A:min,vi,min,i,maj,v,maj,iv,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,G,v,maj,vi,min,i,maj,v,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,v,maj,vi,min,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,F,iv,maj,i,maj,v,maj,vi,min
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,F,iv,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,G,v,maj,iv,maj,i,maj,iv,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,v,maj,iv,maj,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,A:min,vi,min,i,maj,v,maj,iv,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,vi,min,i,maj,v,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,F,iv,maj,i,maj,vi,min,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,iv,maj,i,maj,vi,min
01_-_Please_Please_Me,02_-_Misery.lab,C,F,iv,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,G,v,maj,iv,maj,i,maj,iv,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,v,maj,iv,maj,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,A:min,vi,min,i,maj,v,maj,iv,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,vi,min,i,maj,v,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,A:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,G,v,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,v,maj,vi,min,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,F,iv,maj,i,maj,v,maj,vi,min
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,F,iv,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,G,v,maj,iv,maj,i,maj,iv,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,v,maj,iv,maj,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,A:min,vi,min,i,maj,v,maj,iv,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,vi,min,i,maj,v,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,A:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,G,v,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,v,maj,vi,min,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,F,iv,maj,i,maj,v,maj,vi,min
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,F,iv,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,G,v,maj,iv,maj,i,maj,iv,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,v,maj,iv,maj,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,A:min,vi,min,i,maj,v,maj,iv,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,vi,min,i,maj,v,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,A:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,02_-_Misery.lab,C,A:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,02_-_Misery.lab,C,C,i,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,,,,,,
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,,,,
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,,
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,E:min,ii,min,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,A,v,maj,ii,min,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,v,maj,ii,min,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,v,maj,ii,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,v,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,E:min,ii,min,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,A,v,maj,ii,min,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,v,maj,ii,min,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,G,iv,maj,i,maj,v,maj,ii,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,G,iv,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,E:7,ii,7,iv,maj,i,maj,iv,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,A,v,maj,ii,7,iv,maj,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,v,maj,ii,7,iv,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,v,maj,ii,7
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,v,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,E:min,ii,min,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,A,v,maj,ii,min,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,v,maj,ii,min,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,G,iv,maj,i,maj,v,maj,ii,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,G,iv,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,G:min,iv,min,iv,maj,i,maj,iv,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,E:7,ii,7,iv,min,iv,maj,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,A,v,maj,ii,7,iv,min,iv,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,v,maj,ii,7,iv,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,v,maj,ii,7
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,v,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,E:min,ii,min,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,A,v,maj,ii,min,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,v,maj,ii,min,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,v,maj,ii,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,v,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,B:min,vi,min,i,maj,vi,min,i,maj
01_-_Please_Please_Me,03_-_Anna_(Go_To_Him).lab,D,D,i,maj,vi,min,i,maj,vi,min
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,,,,,,
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,i,maj,,,,
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Eb:7,iv,7,i,maj,i,maj,,
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,iv,7,i,maj,i,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,F:9,v,maj,i,maj,iv,7,i,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Eb:9,iv,maj,v,maj,i,maj,iv,7
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,iv,maj,v,maj,i,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,F,v,maj,i,maj,iv,maj,v,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Eb:7,iv,7,i,maj,v,maj,i,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,iv,7,i,maj,v,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,F:9,v,maj,i,maj,iv,7,i,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Eb:9,iv,maj,v,maj,i,maj,iv,7
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,iv,maj,v,maj,i,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb:7,i,7,i,maj,iv,maj,v,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Eb,iv,maj,i,7,i,maj,iv,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,iv,maj,i,7,i,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Eb,iv,maj,i,maj,iv,maj,i,7
01_-_Please_Please_Me,04_-_Chains.lab,Bb,F,v,maj,iv,maj,i,maj,iv,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,v,maj,iv,maj,i,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Eb:7,iv,7,i,maj,v,maj,iv,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,iv,7,i,maj,v,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,F:9,v,maj,i,maj,iv,7,i,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Eb:9,iv,maj,v,maj,i,maj,iv,7
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,iv,maj,v,maj,i,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb:7,i,7,i,maj,iv,maj,v,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Eb,iv,maj,i,7,i,maj,iv,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,iv,maj,i,7,i,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Eb,iv,maj,i,maj,iv,maj,i,7
01_-_Please_Please_Me,04_-_Chains.lab,Bb,F,v,maj,iv,maj,i,maj,iv,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,v,maj,iv,maj,i,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Eb:7,iv,7,i,maj,v,maj,iv,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,iv,7,i,maj,v,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,F:9,v,maj,i,maj,iv,7,i,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Eb:9,iv,maj,v,maj,i,maj,iv,7
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,iv,maj,v,maj,i,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,F,v,maj,i,maj,iv,maj,v,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Bb,i,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Eb,iv,maj,i,maj,v,maj,i,maj
01_-_Please_Please_Me,04_-_Chains.lab,Bb,Eb:min,iv,min,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,B,v,maj,,,,,,
01_-_Please_Please_Me,05_-_Boys.lab,E,A,iv,maj,v,maj,,,,
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,iv,maj,v,maj,,
01_-_Please_Please_Me,05_-_Boys.lab,E,B,v,maj,i,maj,iv,maj,v,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,A,iv,maj,i,maj,v,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,B,v,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,A,iv,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,iv,maj,v,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,B,v,maj,i,maj,iv,maj,v,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,A,iv,maj,i,maj,v,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,B,v,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,A,iv,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,iv,maj,v,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,B,v,maj,i,maj,iv,maj,v,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,A,iv,maj,i,maj,v,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,B,v,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,A,iv,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,iv,maj,v,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,B,v,maj,i,maj,iv,maj,v,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,A,iv,maj,i,maj,v,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,B,v,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,A,iv,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,iv,maj,v,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,B,v,maj,i,maj,iv,maj,v,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,A,iv,maj,i,maj,v,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,B,v,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,A,iv,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,iv,maj,v,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,B,v,maj,i,maj,iv,maj,v,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,A,iv,maj,i,maj,v,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,B,v,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,A,iv,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,iv,maj,v,maj,i,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,B,v,maj,i,maj,iv,maj,v,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,E,i,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,05_-_Boys.lab,E,A,iv,maj,i,maj,v,maj,i,maj
